Hour,Access_Control,Alignment,Contributing_Factor,Lighting,Locality,Collision,Road_Type,Severity,Weather,Roadway,Damage,Dr_Age,Dr_Condition,Dr_Gender,Reason,Traffic_Control,Traffic_Condition,Violation,Posted_Speed
Peak,No Control,Straight-Level,Violations,Daylight,Business,Rear End,Two-Way Road With No Physical Separation,No Injury,Clear,Street/Lane/Road,Front ,45-54,Distracted,Male,Driver Violation,Other,No Controls,Driver Error,21-30 mph
Off-peak,No Control,Straight-Level,Violations,Dark - Continuous Street Light,Residential ,Other,Two-Way Road With No Physical Separation,No Injury,Rain/Fog/Sleet/Snow,Drive,Unknown,15-24,Unknown,Unknown,Other,Other,No Controls,Driver Error,20 mph or less
Peak,No Control,Straight-Level,Violations,Daylight,Business,Head-On,Two-Way Road With A Physical Separation,Complaint,Rain/Fog/Sleet/Snow,Street/Lane/Road,Front ,25-34,Distracted,Male,Driver Violation,Other,Controls Functioning,Driver Error,51-60 mph
Off-peak,No Control,Straight-Level,Violations,Dark - Continuous Street Light,Residential ,Sideswipe,Two-Way Road With No Physical Separation,No Injury,Cloudy,Street/Lane/Road,Front Left,15-24,Distracted,Male,Driver Violation,Yellow Dashed Line,Controls Functioning,Driver Error,21-30 mph
Peak,No Control,Curve-Level,Violations,Dark - Continuous Street Light,Business,Head-On,Two-Way Road With A Physical Separation,No Injury,Rain/Fog/Sleet/Snow,Other,Front ,15-24,Distracted,Female,Driver Condition,Other,No Controls,Driver Error,20 mph or less
Off-peak,No Control,Straight-Level,Violations,Daylight,Business,Right Angle,Two-Way Road With No Physical Separation,Complaint,Cloudy,Drive,None,25-34,Normal,Male,Driver Violation,Other,No Controls,Other,41-50 mph
Off-peak,No Control,Straight-Level,Violations,Dark - Continuous Street Light,Business,Right Angle,One-Way Road,Moderate,Clear,Street/Lane/Road,Front ,15-24,Impaired,Male,Driver Condition,Other,Controls Functioning,Driver Error,21-30 mph
Peak,Partial Control,Straight-Level,Violations,Daylight,Residential ,Other,One-Way Road,No Injury,Clear,Drive,Under Carriage,55-64,Distracted,Male,Driver Violation,Other,Controls Functioning,Driver Error,20 mph or less
Off-peak,No Control,Straight-Level,Violations,Dark - Continuous Street Light,Business,Sideswipe,One-Way Road,No Injury,Clear,Street/Lane/Road,Left,25-34,Distracted,Female,Driver Violation,White Dashed Line,Controls Functioning,Driver Error,31-40 mph
Peak,Full Control,Straight-Level,Violations,Dark - Continuous Street Light,Business,Head-On,One-Way Road,No Injury,Clear,Avenue,Front Left,75-Inf,Distracted,Male,Driver Violation,White Dashed Line,Controls Functioning,Driver Error,61-70 mph
Peak,No Control,Straight-Level,Violations,Daylight,Residential ,Left Turn,Two-Way Road With No Physical Separation,No Injury,Clear,Other,Front ,15-24,Other,Unknown,Other,Sign,Controls Functioning,Driver Error,21-30 mph
Peak,No Control,Straight-Level,Violations,Dark - Continuous Street Light,Business,Other,Two-Way Road With No Physical Separation,Complaint,Clear,Avenue,Right ,25-34,Unknown,Unknown,Driver Violation,White Dashed Line,Controls Functioning,Driver Error,20 mph or less
Peak,No Control,Straight-Level,Violations,Daylight,Business,Head-On,One-Way Road,No Injury,Clear,Other,Front ,75-Inf,Distracted,Female,Normal Movement,Other,No Controls,Other,20 mph or less
