CONTROL_SECTION,LOGMILE_FROM,LOGMILE_TO,LENGTH,AVG_ADT,FUNCTIONAL_CLASS,HIGHWAY_CLASS,CLASS_DESC,MED_TYPE,MED_TYPE_DESC,MEDIAN_WIDTH,MED_PRESENCE,NUM_LANES,PAVEMENT_WIDTH,AVG_LANE_WIDTH,INTERSECTION,TOT_CRASH,AVG_CRASH
001-01,1.99,2.52,0.53,1920,7,1,Rural 2 Lane,1,Undivided,0,0,2,24,12,0,1,0.33
001-01,0,1.85,1.85,2175,7,1,Rural 2 Lane,1,Undivided,0,0,2,24,12,0,11,3.67
001-01,1.85,1.99,0.14,2280,7,1,Rural 2 Lane,1,Undivided,0,0,2,24,12,0,4,1.33
001-01,2.52,4.21,1.69,4213,7,1,Rural 2 Lane,1,Undivided,0,0,2,24,12,0,8,2.67
001-01,6.19,6.6,0.41,3600,16,5,Urban 2 Lane,1,Undivided,0,0,2,24,12,0,1,0.33
001-01,6.6,7.31,0.71,3800,16,5,Urban 2 Lane,1,Undivided,0,0,2,24,12,0,2,0.67
001-01,7.31,9.3,1.99,4000,16,5,Urban 2 Lane,1,Undivided,0,0,2,24,12,0,5,1.67
001-01,4.32,4.38,0.06,2150,17,5,Urban 2 Lane,1,Undivided,0,0,2,24,12,0,4,1.33
001-01,6.04,6.19,0.15,4400,17,5,Urban 2 Lane,1,Undivided,0,0,2,24,12,0,1,0.33
001-01,4.26,4.32,0.06,4433,17,5,Urban 2 Lane,1,Undivided,0,0,2,24,12,0,3,1.00
001-01,4.38,5.01,0.63,4600,17,5,Urban 2 Lane,1,Undivided,0,0,2,24,12,0,2,0.67
001-01,5.01,6.04,1.03,4733,17,5,Urban 2 Lane,1,Undivided,0,0,2,24,12,0,9,3.00
001-02,10.53,10.6,0.07,9833,16,6,Urban 4 Lane,3,1 Way Couplet,30,0,6,90,15,0,3,1.00
001-02,2.91,3.46,0.55,4367,16,5,Urban 2 Lane,1,Undivided,0,0,2,24,12,0,3,1.00
001-02,3.46,5.48,2.02,4811,16,5,Urban 2 Lane,1,Undivided,0,0,2,24,12,0,19,6.33
001-02,1.71,2.49,0.78,4900,16,5,Urban 2 Lane,1,Undivided,0,0,2,24,12,0,9,3.00
001-02,0,1.71,1.71,4991,16,5,Urban 2 Lane,1,Undivided,0,0,2,24,12,0,11,3.67
001-02,7.8,8.38,0.58,8067,16,6,Urban 4 Lane,1,Undivided,0,0,4,36,9,0,3,1.00
001-02,8.43,9.6,1.17,7500,16,6,Urban 4 Lane,1,Undivided,0,0,4,40,10,0,6,2.00
001-02,5.48,6.66,1.18,16150,16,6,Urban 4 Lane,1,Undivided,0,0,4,48,12,0,48,16.00
001-02,7.24,7.8,0.56,9050,16,6,Urban 4 Lane,1,Undivided,0,0,4,50,12.5,0,6,2.00
001-02,6.66,7.24,0.58,10473,16,6,Urban 4 Lane,1,Undivided,0,0,4,51,12.75,0,11,3.67
001-02,9.8,10.46,0.66,4080,16,6,Urban 4 Lane,1,Undivided,0,0,4,56,14,0,5,1.67
001-02,10.6,10.96,0.36,8750,16,6,Urban 4 Lane,1,Undivided,0,0,6,74,12.33333333,0,10,3.33
001-02,10.96,11,0.04,8356,14,6,Urban 4 Lane,1,Undivided,0,0,6,78,13,0,9,3.00
001-03,2.01,2.93,0.92,12746,14,7,Urban 4 Lane Divided,9,Continuous Turn Lane,0,0,4,48,12,0,96,32.00
001-03,2.93,3.47,0.54,15218,14,7,Urban 4 Lane Divided,9,Continuous Turn Lane,0,0,4,48,12,0,56,18.67
001-03,18.07,18.51,0.44,4300,7,3,Rural 4 Lane Divided,5,Divided >30 ft,40,1,4,48,12,0,2,0.67
001-03,15.98,18.07,2.09,4410,7,3,Rural 4 Lane Divided,5,Divided >30 ft,40,1,4,48,12,0,10,3.33
001-03,3.47,3.75,0.28,15146,14,7,Urban 4 Lane Divided,5,Divided >30 ft,40,1,4,48,12,0,13,4.33
001-03,4.83,7.26,2.43,19479,14,7,Urban 4 Lane Divided,5,Divided >30 ft,40,1,4,48,12,0,121,40.33
001-03,4.28,4.83,0.55,20255,14,7,Urban 4 Lane Divided,5,Divided >30 ft,40,1,4,48,12,0,56,18.67
001-03,3.8,4.28,0.48,20333,14,7,Urban 4 Lane Divided,5,Divided >30 ft,40,1,4,48,12,0,18,6.00
001-03,3.75,3.8,0.05,20800,14,7,Urban 4 Lane Divided,5,Divided >30 ft,40,1,4,48,12,0,2,0.67
001-03,12.12,14.34,2.22,10429,16,7,Urban 4 Lane Divided,5,Divided >30 ft,40,1,4,48,12,0,28,9.33
001-03,10.2,10.83,0.63,14330,16,7,Urban 4 Lane Divided,5,Divided >30 ft,40,1,4,48,12,0,10,3.33
001-03,10.83,11.4,0.57,14338,16,7,Urban 4 Lane Divided,5,Divided >30 ft,40,1,4,48,12,0,16,5.33
001-03,11.4,12.12,0.72,14338,16,7,Urban 4 Lane Divided,5,Divided >30 ft,40,1,4,48,12,0,16,5.33
001-03,7.26,8.62,1.36,19939,16,7,Urban 4 Lane Divided,5,Divided >30 ft,40,1,4,48,12,0,112,37.33
001-03,8.62,10.2,1.58,20426,16,7,Urban 4 Lane Divided,5,Divided >30 ft,40,1,4,48,12,0,53,17.67
001-03,14.53,15.45,0.92,10553,17,7,Urban 4 Lane Divided,5,Divided >30 ft,40,1,4,48,12,0,15,5.00
001-03,0,0.6,0.6,14859,14,6,Urban 4 Lane,1,Undivided,0,0,4,40,10,0,27,9.00
001-03,0.6,2.01,1.41,12067,14,6,Urban 4 Lane,1,Undivided,0,0,4,49,12.25,0,113,37.67
001-04,1.83,3.29,1.46,4857,7,3,Rural 4 Lane Divided,5,Divided >30 ft,40,1,4,48,12,0,7,2.33
001-04,3.29,5.26,1.97,5517,7,3,Rural 4 Lane Divided,5,Divided >30 ft,40,1,4,48,12,0,6,2.00
001-04,0,0.87,0.87,5750,7,3,Rural 4 Lane Divided,5,Divided >30 ft,40,1,4,48,12,0,2,0.67
001-04,5.26,6.12,0.86,5567,7,1,Rural 2 Lane,1,Undivided,0,0,2,24,12,0,3,1.00
001-04,6.85,7.91,1.06,11156,16,5,Urban 2 Lane,1,Undivided,0,0,2,24,12,0,9,3.00
001-04,6.61,6.85,0.24,11186,16,5,Urban 2 Lane,1,Undivided,0,0,2,24,12,0,7,2.33
001-04,7.91,8.27,0.36,11250,16,5,Urban 2 Lane,1,Undivided,0,0,2,24,12,0,2,0.67
001-04,6.12,6.34,0.22,5500,17,5,Urban 2 Lane,1,Undivided,0,0,2,24,12,0,2,0.67
001-04,6.34,6.61,0.27,5600,17,5,Urban 2 Lane,1,Undivided,0,0,2,24,12,0,2,0.67
001-04,8.27,9.65,1.38,11233,16,6,Urban 4 Lane,1,Undivided,0,0,4,42,10.5,0,46,15.33
001-05,0.24,0.4,0.16,15429,14,6,Urban 4 Lane,3,1 Way Couplet,30,0,6,69,11.5,0,14,4.67
001-05,0.07,0.19,0.12,11275,16,6,Urban 4 Lane,3,1 Way Couplet,30,0,6,69,11.5,0,4,1.33
001-05,0.19,0.24,0.05,15500,16,6,Urban 4 Lane,3,1 Way Couplet,30,0,6,69,11.5,0,1,0.33
001-05,0.5,0.52,0.02,3900,14,6,Urban 4 Lane,3,1 Way Couplet,30,0,6,75,12.5,0,2,0.67
001-05,0.4,0.5,0.1,15313,14,6,Urban 4 Lane,3,1 Way Couplet,30,0,6,78,13,0,16,5.33
001-05,3.16,7.5,4.34,4600,7,1,Rural 2 Lane,1,Undivided,0,0,2,24,12,0,3,1.00
001-05,1.78,3.12,1.34,4629,16,5,Urban 2 Lane,1,Undivided,0,0,2,24,12,0,14,4.67
001-05,0.59,0.75,0.16,3900,16,5,Urban 2 Lane,1,Undivided,0,0,2,27,13.5,0,2,0.67
001-05,0.56,0.59,0.03,3900,16,6,Urban 4 Lane,1,Undivided,0,0,4,37,9.25,0,2,0.67
001-05,0.75,1.71,0.96,5500,16,6,Urban 4 Lane,1,Undivided,0,0,4,41,10.25,0,7,2.33
001-05,0,0.07,0.07,11400,16,6,Urban 4 Lane,1,Undivided,0,0,6,68,11.33333333,0,1,0.33
001-06,0,0.42,0.42,1550,7,1,Rural 2 Lane,1,Undivided,0,0,2,24,12,0,2,0.67
001-06,9.57,9.93,0.36,1550,7,1,Rural 2 Lane,1,Undivided,0,0,2,24,12,0,1,0.33
001-06,0.67,8.27,7.6,1553,7,1,Rural 2 Lane,1,Undivided,0,0,2,24,12,0,10,3.33
001-06,9.93,15.74,5.81,1658,7,1,Rural 2 Lane,1,Undivided,0,0,2,24,12,0,17,5.67
001-06,18.42,20.01,1.59,2350,7,1,Rural 2 Lane,1,Undivided,0,0,2,24,12,0,2,0.67
001-06,17.6,17.95,0.35,1370,7,2,Rural 4 Lane,1,Undivided,0,0,4,40,10,0,1,0.33
001-06,16.55,17.47,0.92,5100,7,2,Rural 4 Lane,1,Undivided,0,0,4,40,10,0,3,1.00
001-06,0.42,0.67,0.25,1520,7,2,Rural 4 Lane,1,Undivided,0,0,4,42,10.5,0,2,0.67
001-07,6.5,8.73,2.23,2200,7,1,Rural 2 Lane,1,Undivided,0,0,2,24,12,0,9,3.00
001-07,5,6.5,1.5,2833,7,1,Rural 2 Lane,1,Undivided,0,0,2,24,12,0,3,1.00
001-07,0,5,5,2842,7,1,Rural 2 Lane,1,Undivided,0,0,2,24,12,0,12,4.00
001-07,12.69,13.4,0.71,2450,14,5,Urban 2 Lane,1,Undivided,0,0,2,24,12,0,10,3.33
001-07,13.4,13.72,0.32,8560,14,5,Urban 2 Lane,1,Undivided,0,0,2,24,12,0,5,1.67
001-07,8.73,11.04,2.31,2200,16,5,Urban 2 Lane,1,Undivided,0,0,2,24,12,0,6,2.00
001-07,11.04,12.32,1.28,2200,16,5,Urban 2 Lane,1,Undivided,0,0,2,24,12,0,17,5.67
001-07,12.32,12.69,0.37,2413,16,5,Urban 2 Lane,1,Undivided,0,0,2,24,12,0,8,2.67
001-07,14.8,15.25,0.45,12360,14,6,Urban 4 Lane,1,Undivided,0,0,4,36,9,0,30,10.00
001-07,13.72,14.8,1.08,8563,14,6,Urban 4 Lane,1,Undivided,0,0,4,40,10,0,27,9.00
001-08,0.21,0.27,0.06,21760,14,6,Urban 4 Lane,3,1 Way Couplet,30,0,4,49,12.25,0,5,1.67
001-08,0.31,0.34,0.03,21500,14,6,Urban 4 Lane,3,1 Way Couplet,30,0,6,61,10.16666667,0,1,0.33
001-08,0.27,0.31,0.04,21700,14,6,Urban 4 Lane,3,1 Way Couplet,30,0,6,61,10.16666667,0,2,0.67
001-08,0.34,0.47,0.13,21769,14,6,Urban 4 Lane,3,1 Way Couplet,30,0,6,61,10.16666667,0,13,4.33
001-08,10.33,12.63,2.3,1623,7,1,Rural 2 Lane,1,Undivided,0,0,2,24,12,0,3,1.00
001-08,7.98,8.58,0.6,1630,7,1,Rural 2 Lane,1,Undivided,0,0,2,24,12,0,1,0.33
001-08,12.63,13.97,1.34,1630,7,1,Rural 2 Lane,1,Undivided,0,0,2,24,12,0,1,0.33
001-08,4.66,7.21,2.55,4357,7,1,Rural 2 Lane,1,Undivided,0,0,2,24,12,0,7,2.33
001-08,2.67,4.66,1.99,4330,16,5,Urban 2 Lane,1,Undivided,0,0,2,24,12,0,10,3.33
001-08,1.5,2.67,1.17,4350,16,5,Urban 2 Lane,1,Undivided,0,0,2,24,12,0,6,2.00
001-08,0,0.07,0.07,21733,14,5,Urban 2 Lane,1,Undivided,0,0,2,30,15,0,6,2.00
001-08,0.07,0.21,0.14,21663,14,5,Urban 2 Lane,1,Undivided,0,0,2,30,15,0,8,2.67
001-08,0.61,1.39,0.78,12961,14,6,Urban 4 Lane,1,Undivided,0,0,4,40,10,0,36,12.00
001-08,0.47,0.61,0.14,21677,14,6,Urban 4 Lane,1,Undivided,0,0,4,36,9,0,26,8.67
001-09,20.38,20.99,0.61,21741,14,7,Urban 4 Lane Divided,9,Continuous Turn Lane,0,0,4,49,12.25,0,108,36.00
001-09,18.99,19.43,0.44,21773,14,7,Urban 4 Lane Divided,9,Continuous Turn Lane,0,0,4,49,12.25,0,22,7.33
001-09,19.47,20.38,0.91,21790,14,7,Urban 4 Lane Divided,9,Continuous Turn Lane,0,0,4,49,12.25,0,197,65.67
001-09,19.43,19.47,0.04,22373,14,7,Urban 4 Lane Divided,9,Continuous Turn Lane,0,0,4,49,12.25,0,11,3.67
001-09,20.99,21.12,0.13,21767,14,7,Urban 4 Lane Divided,9,Continuous Turn Lane,0,0,4,50,12.5,0,18,6.00
001-09,5.2,10.34,5.14,3331,7,1,Rural 2 Lane,1,Undivided,0,0,2,24,12,0,32,10.67
001-09,0,4.76,4.76,5200,7,1,Rural 2 Lane,1,Undivided,0,0,2,24,12,0,22,7.33
001-09,4.76,5.2,0.44,5217,7,1,Rural 2 Lane,1,Undivided,0,0,2,24,12,0,6,2.00
001-09,10.34,10.38,0.04,3350,16,5,Urban 2 Lane,1,Undivided,0,0,2,24,12,0,4,1.33
001-09,10.38,12.35,1.97,9522,16,5,Urban 2 Lane,1,Undivided,0,0,2,24,12,0,50,16.67
001-09,12.35,13.55,1.2,9603,16,5,Urban 2 Lane,1,Undivided,0,0,2,24,12,0,72,24.00
001-09,16.6,17.89,1.29,13975,14,6,Urban 4 Lane,1,Undivided,0,0,4,40,10,0,36,12.00
001-09,18.11,18.26,0.15,30200,14,6,Urban 4 Lane,1,Undivided,0,0,4,40,10,0,1,0.33
001-09,18,18.11,0.11,33340,14,6,Urban 4 Lane,1,Undivided,0,0,4,40,10,0,20,6.67
001-09,18.11,18.26,0.15,33783,14,6,Urban 4 Lane,1,Undivided,0,0,4,40,10,0,24,8.00
001-09,18.26,18.57,0.31,33649,14,6,Urban 4 Lane,1,Undivided,0,0,4,42,10.5,0,94,31.33
001-09,18.67,18.99,0.32,21482,14,6,Urban 4 Lane,1,Undivided,0,0,4,44,11,0,22,7.33
001-09,17.89,18,0.11,13869,14,6,Urban 4 Lane,1,Undivided,0,0,4,48,12,0,13,4.33
001-09,16.27,16.55,0.28,18789,14,6,Urban 4 Lane,1,Undivided,0,0,4,49,12.25,0,9,3.00
001-09,15.7,16.27,0.57,18839,14,6,Urban 4 Lane,1,Undivided,0,0,4,49,12.25,0,46,15.33
001-09,13.55,14.81,1.26,19253,16,6,Urban 4 Lane,1,Undivided,0,0,4,49,12.25,0,183,61.00
001-09,14.81,15.7,0.89,19337,16,6,Urban 4 Lane,1,Undivided,0,0,4,49,12.25,0,75,25.00
001-09,18.64,18.67,0.03,30200,14,6,Urban 4 Lane,1,Undivided,0,0,4,42,10.5,0,1,0.33
001-09,18.64,18.67,0.03,33491,14,6,Urban 4 Lane,1,Undivided,0,0,4,42,10.5,0,11,3.67
001-09,18.57,18.62,0.05,32733,14,6,Urban 4 Lane,1,Undivided,0,0,4,42,10.5,0,9,3.00
002-01,6.74,8.34,1.6,6233,7,1,Rural 2 Lane,1,Undivided,0,0,2,24,12,0,3,1.00
002-01,8.34,10.32,1.98,6300,7,1,Rural 2 Lane,1,Undivided,0,0,2,24,12,0,4,1.33
002-01,2.99,3.32,0.33,6260,16,5,Urban 2 Lane,1,Undivided,0,0,2,24,12,0,5,1.67
002-01,3.32,5.34,2.02,6260,16,5,Urban 2 Lane,1,Undivided,0,0,2,24,12,0,20,6.67
002-01,5.9,6.74,0.84,6267,16,5,Urban 2 Lane,1,Undivided,0,0,2,24,12,0,6,2.00
002-01,5.34,5.9,0.56,6275,16,5,Urban 2 Lane,1,Undivided,0,0,2,24,12,0,8,2.67
002-01,1.01,1.14,0.13,20020,16,6,Urban 4 Lane,1,Undivided,0,0,4,48,12,0,5,1.67
002-01,2.23,2.99,0.76,20036,16,6,Urban 4 Lane,1,Undivided,0,0,4,48,12,0,106,35.33
002-01,1.14,1.85,0.71,20052,16,6,Urban 4 Lane,1,Undivided,0,0,4,48,12,0,79,26.33
002-01,1.85,2.23,0.38,20094,16,6,Urban 4 Lane,1,Undivided,0,0,4,48,12,0,34,11.33
002-01,0,0.11,0.11,23713,14,6,Urban 4 Lane,1,Undivided,0,0,4,50,12.5,0,31,10.33
002-01,0.49,1.01,0.52,20032,16,6,Urban 4 Lane,1,Undivided,0,0,4,50,12.5,0,34,11.33
002-01,0.11,0.49,0.38,23862,16,6,Urban 4 Lane,1,Undivided,0,0,4,50,12.5,0,81,27.00
002-02,0,1.4,1.4,2333,7,1,Rural 2 Lane,1,Undivided,0,0,2,24,12,0,3,1.00
002-02,2.7,3.74,1.04,2333,7,1,Rural 2 Lane,1,Undivided,0,0,2,24,12,0,6,2.00
002-02,1.4,2.7,1.3,2375,7,1,Rural 2 Lane,1,Undivided,0,0,2,24,12,0,4,1.33
002-02,3.74,7.06,3.32,3150,7,1,Rural 2 Lane,1,Undivided,0,0,2,24,12,0,8,2.67
002-02,7.06,7.31,0.25,3900,7,1,Rural 2 Lane,1,Undivided,0,0,2,24,12,0,1,0.33
002-03,10.22,13.02,2.8,2021,7,1,Rural 2 Lane,1,Undivided,0,0,2,24,12,0,8,2.67
002-03,6.05,10.22,4.17,2578,7,1,Rural 2 Lane,1,Undivided,0,0,2,24,12,0,9,3.00
002-03,2.95,6.05,3.1,3111,7,1,Rural 2 Lane,1,Undivided,0,0,2,24,12,0,9,3.00
002-03,0.3,1.9,1.6,3360,7,1,Rural 2 Lane,1,Undivided,0,0,2,24,12,0,5,1.67
002-03,13.02,17.51,4.49,3500,7,1,Rural 2 Lane,1,Undivided,0,0,2,24,12,0,11,3.67
002-03,17.8,18.06,0.26,3650,7,1,Rural 2 Lane,1,Undivided,0,0,2,24,12,0,2,0.67
002-04,1.85,3.81,1.96,990,7,1,Rural 2 Lane,1,Undivided,0,0,2,24,12,0,3,1.00
002-04,3.81,4.01,0.2,990,7,1,Rural 2 Lane,1,Undivided,0,0,2,24,12,0,1,0.33
002-04,6.71,17.05,10.34,1045,7,1,Rural 2 Lane,1,Undivided,0,0,2,24,12,0,11,3.67
002-04,0,1.85,1.85,1566,7,1,Rural 2 Lane,1,Undivided,0,0,2,24,12,0,5,1.67
002-04,17.4,17.78,0.38,1570,16,6,Urban 4 Lane,1,Undivided,0,0,4,41,10.25,0,2,0.67
002-04,17.78,18.51,0.73,5044,16,6,Urban 4 Lane,1,Undivided,0,0,4,41,10.25,0,9,3.00
002-05,11.14,14.37,3.23,850,7,1,Rural 2 Lane,1,Undivided,0,0,2,24,12,0,4,1.33
002-05,4.69,5.35,0.66,890,7,1,Rural 2 Lane,1,Undivided,0,0,2,24,12,0,3,1.00
002-05,5.35,10.66,5.31,890,7,1,Rural 2 Lane,1,Undivided,0,0,2,24,12,0,17,5.67
002-05,1.26,2.63,1.37,3067,7,1,Rural 2 Lane,1,Undivided,0,0,2,24,12,0,3,1.00
002-05,2.63,4.69,2.06,3700,7,1,Rural 2 Lane,1,Undivided,0,0,2,24,12,0,1,0.33
002-05,14.37,15.26,0.89,890,9,1,Rural 2 Lane,1,Undivided,0,0,2,24,12,0,1,0.33
002-05,15.26,16.2,0.94,890,9,1,Rural 2 Lane,1,Undivided,0,0,2,24,12,0,1,0.33
002-05,0.68,1.26,0.58,3000,16,5,Urban 2 Lane,1,Undivided,0,0,2,24,12,0,1,0.33
002-05,0.29,0.68,0.39,3271,16,5,Urban 2 Lane,1,Undivided,0,0,2,24,12,0,7,2.33
002-05,0,0.19,0.19,3233,16,6,Urban 4 Lane,1,Undivided,0,0,4,41,10.25,0,3,1.00
002-07,0,0.64,0.64,840,7,1,Rural 2 Lane,1,Undivided,0,0,2,24,12,0,1,0.33
003-02,0,3.2,3.2,1949,7,1,Rural 2 Lane,1,Undivided,0,0,2,24,12,0,18,6.00
003-02,3.2,4.38,1.18,1954,7,1,Rural 2 Lane,,,0,0,2,24,12,0,7,2.33
003-03,12.59,12.94,0.35,8950,16,5,Urban 2 Lane,9,Continuous Turn Lane,0,0,2,24,12,0,2,0.67
003-03,0,1.3,1.3,2300,7,1,Rural 2 Lane,1,Undivided,0,0,2,24,12,0,3,1.00
003-03,1.3,11.76,10.46,6236,7,1,Rural 2 Lane,1,Undivided,0,0,2,24,12,0,44,14.67
003-03,11.81,12.05,0.24,6400,16,5,Urban 2 Lane,1,Undivided,0,0,2,24,12,0,2,0.67
003-03,12.05,12.59,0.54,6356,16,6,Urban 4 Lane,1,Undivided,0,0,4,48,12,0,9,3.00
003-03,12.94,12.95,0.01,9057,16,6,Urban 4 Lane,1,Undivided,0,0,4,48,12,0,7,2.33
003-04,3.13,3.98,0.85,9467,14,5,Urban 2 Lane,1,Undivided,0,0,2,24,12,0,12,4.00
003-04,4.3,6.15,1.85,9478,14,5,Urban 2 Lane,1,Undivided,0,0,2,24,12,0,23,7.67
003-04,1.69,3.13,1.44,12788,14,5,Urban 2 Lane,1,Undivided,0,0,2,24,12,0,73,24.33
003-04,1.64,1.69,0.05,12850,14,5,Urban 2 Lane,1,Undivided,0,0,2,24,12,0,2,0.67
003-04,3.98,4.15,0.17,9310,14,5,Urban 2 Lane,1,Undivided,0,0,2,24,12,0,10,3.33
003-04,4.15,4.3,0.15,9450,14,5,Urban 2 Lane,1,Undivided,0,0,2,24,12,0,6,2.00
003-04,0.06,0.19,0.13,8800,16,6,Urban 4 Lane,1,Undivided,0,0,4,42,10.5,0,1,0.33
003-04,1.6,1.64,0.04,12792,14,6,Urban 4 Lane,1,Undivided,0,0,4,46,11.5,0,12,4.00
