Cond,Freq,Fat,Severe,PDO
Light-A Wea-A Road-B,1222,56,236,930
Light-B Wea-A Road-B,1036,34,222,780
Light-A Wea-A Road-C,495,21,198,276
Light-B Wea-A Road-C,326,17,176,133
Light-A Wea-B Road-B,295,13,99,183
Light-C Wea-A Road-B,267,10,88,169
Light-B Wea-B Road-B,245,13,77,155
Light-C Wea-A Road-C,157,10,55,92
Light-D Wea-A Road-B,150,13,34,103
Light-A Wea-C Road-B,123,10,45,68
Light-A Wea-B Road-C,101,17,24,60
Light-B Wea-C Road-B,80,13,23,44
Light-C Wea-B Road-B,74,10,34,30
Light-B Wea-B Road-C,73,13,45,15
Light-A Wea-A Road-A,61,10,23,28
Light-A Wea-C Road-C,60,13,44,3
Light-C Wea-A Road-A,58,10,23,25
Light-A Wea-A Road-D,55,6,35,14
Light-E Wea-A Road-B,53,7,30,16
